"book_id","chapter","verse","alignment_num","origWordsText","origWordsCount","origWordsBetween","targetWordsText","targetWordsCount","targetWordsBetween","alignmentText","alignmentTxtFrequency","originalWord","lemma","strong","alignmentsTotal","alignmentsTextFreqPeak","frequencyWarning","originalWordsCountWarning","targetWordsCountWarning","originalWordsBetweenWarning","targetWordsBetweenWarning"
"1co","1","1","2","Χριστοῦ",1,0,"by Christ",2,0,"Χριστοῦ = by Christ",0.39215686274509803,"Χριστοῦ","χριστός","G55470",255,57.647058823529406,"For Χριστοῦ - Specific alignment ""Χριστοῦ = by Christ"" used infrequently: 0.4% out of 255 total alignments, threshold 4.6% (8.0% of peak 58%)","","","",""
"1co","1","10","13","τὸ αὐτὸ λέγητε",3,0,"you",1,0,"τὸ αὐτὸ λέγητε = you",50.0,"λέγητε","λέγω","G30040",2,50.0,"","For λέγητε - Too many original language words in alignment: 3, threshold 3","","",""
"1co","1","10","13","τὸ αὐτὸ λέγητε",3,0,"you",1,0,"τὸ αὐτὸ λέγητε = you",1.3333333333333335,"αὐτὸ","αὐτός","G08460",75,26.666666666666668,"For αὐτὸ - Specific alignment ""τὸ αὐτὸ λέγητε = you"" used infrequently: 1.3% out of 75 total alignments, threshold 2.1% (8.0% of peak 27%)","For αὐτὸ - Too many original language words in alignment: 3, threshold 3","","",""
"1co","1","10","15","τὸ αὐτὸ λέγητε",3,0,"agree",1,0,"τὸ αὐτὸ λέγητε = agree",50.0,"λέγητε","λέγω","G30040",2,50.0,"","For λέγητε - Too many original language words in alignment: 3, threshold 3","","",""
"1co","1","10","15","τὸ αὐτὸ λέγητε",3,0,"agree",1,0,"τὸ αὐτὸ λέγητε = agree",1.3333333333333335,"αὐτὸ","αὐτός","G08460",75,26.666666666666668,"For αὐτὸ - Specific alignment ""τὸ αὐτὸ λέγητε = agree"" used infrequently: 1.3% out of 75 total alignments, threshold 2.1% (8.0% of peak 27%)","For αὐτὸ - Too many original language words in alignment: 3, threshold 3","","",""
"1co","1","10","28","αὐτῷ",1,0,"same",1,0,"αὐτῷ = same",0.5854800936768151,"αὐτῷ","αὐτός","G08460",854,41.92037470725995,"For αὐτῷ - Specific alignment ""αὐτῷ = same"" used infrequently: 0.6% out of 854 total alignments, threshold 3.4% (8.0% of peak 42%)","","","",""
"1co","1","11","1","ἐδηλώθη",1,0,"it has been made clear",5,0,"ἐδηλώθη = it has been made clear",100.0,"ἐδηλώθη","δηλόω","G12130",1,100.0,"","","For ἐδηλώθη - Too many target language words in alignment: 5, threshold 5","",""
"1co","1","12","1","λέγω",1,0,"I mean",2,0,"λέγω = I mean",0.8888888888888888,"λέγω","λέγω","G30040",225,66.22222222222223,"For λέγω - Specific alignment ""λέγω = I mean"" used infrequently: 0.9% out of 225 total alignments, threshold 5.3% (8.0% of peak 66%)","","","",""
"1co","1","12","18","Χριστοῦ",1,0,"with Christ",2,0,"Χριστοῦ = with Christ",0.7843137254901961,"Χριστοῦ","χριστός","G55470",255,57.647058823529406,"For Χριστοῦ - Specific alignment ""Χριστοῦ = with Christ"" used infrequently: 0.8% out of 255 total alignments, threshold 4.6% (8.0% of peak 58%)","","","",""
"1co","1","12","9","Παύλου",1,0,"with Paul",2,0,"Παύλου = with Paul",3.3333333333333335,"Παύλου","Παῦλος","G39720",30,50.0,"For Παύλου - Specific alignment ""Παύλου = with Paul"" used infrequently: 3.3% out of 30 total alignments, threshold 4.0% (8.0% of peak 50%)","","","",""
"1co","1","15","3","εἴπῃ",1,0,"might say",2,0,"εἴπῃ = might say",4.545454545454546,"εἴπῃ","λέγω","G30040",22,68.18181818181817,"For εἴπῃ - Specific alignment ""εἴπῃ = might say"" used infrequently: 4.5% out of 22 total alignments, threshold 5.5% (8.0% of peak 68%)","","","",""
"1co","1","18","7","τοῖς μὲν ἀπολλυμένοις",3,0,"to those who are perishing",5,0,"τοῖς μὲν ἀπολλυμένοις = to those who are perishing",0.7936507936507936,"μὲν","μέν","G33030",126,26.190476190476193,"For μὲν - Specific alignment ""τοῖς μὲν ἀπολλυμένοις = to those who are perishing"" used infrequently: 0.8% out of 126 total alignments, threshold 2.1% (8.0% of peak 26%)","For μὲν - Too many original language words in alignment: 3, threshold 3","For μὲν - Too many target language words in alignment: 5, threshold 5","",""
"1co","1","18","7","τοῖς μὲν ἀπολλυμένοις",3,0,"to those who are perishing",5,0,"τοῖς μὲν ἀπολλυμένοις = to those who are perishing",25.0,"ἀπολλυμένοις","ἀπόλλυμι","G06220",4,50.0,"","For ἀπολλυμένοις - Too many original language words in alignment: 3, threshold 3","For ἀπολλυμένοις - Too many target language words in alignment: 5, threshold 5","",""
"1co","1","2","19","τὸ ὄνομα",2,0,"the name",2,0,"τὸ ὄνομα = the name",1.2048192771084338,"ὄνομα","ὄνομα","G36860",83,43.373493975903614,"For ὄνομα - Specific alignment ""τὸ ὄνομα = the name"" used infrequently: 1.2% out of 83 total alignments, threshold 3.5% (8.0% of peak 43%)","","","",""
"1co","1","2","25","αὐτῶν",1,0,"their Lord",2,0,"αὐτῶν = their Lord",0.17857142857142858,"αὐτῶν","αὐτός","G08460",560,52.142857142857146,"For αὐτῶν - Specific alignment ""αὐτῶν = their Lord"" used infrequently: 0.2% out of 560 total alignments, threshold 4.2% (8.0% of peak 52%)","","","",""
"1co","1","2","5","ἡγιασμένοις",1,0,"to those who have been sanctified",6,0,"ἡγιασμένοις = to those who have been sanctified",33.33333333333333,"ἡγιασμένοις","ἁγιάζω","G00370",3,33.33333333333333,"","","For ἡγιασμένοις - Too many target language words in alignment: 6, threshold 5","",""
"1co","1","20","15","τοῦ κόσμου",2,0,"of the world",3,0,"τοῦ κόσμου = of the world",2.3529411764705883,"κόσμου","κόσμος","G28890",85,51.76470588235295,"For κόσμου - Specific alignment ""τοῦ κόσμου = of the world"" used infrequently: 2.4% out of 85 total alignments, threshold 4.1% (8.0% of peak 52%)","","","",""
"1co","1","22","4","σημεῖα",1,0,"miraculous signs",2,0,"σημεῖα = miraculous signs",6.666666666666667,"σημεῖα","σημεῖον","G45920",30,83.33333333333334,"For σημεῖα - Specific alignment ""σημεῖα = miraculous signs"" used infrequently: 6.7% out of 30 total alignments, threshold 6.7% (8.0% of peak 83%)","","","",""
"1co","1","23","6","Ἰουδαίοις μὲν",2,0,"to Jews",2,0,"Ἰουδαίοις μὲν = to Jews",0.7936507936507936,"μὲν","μέν","G33030",126,26.190476190476193,"For μὲν - Specific alignment ""Ἰουδαίοις μὲν = to Jews"" used infrequently: 0.8% out of 126 total alignments, threshold 2.1% (8.0% of peak 26%)","","","",""
"1co","1","23","6","Ἰουδαίοις μὲν",2,0,"to Jews",2,0,"Ἰουδαίοις μὲν = to Jews",2.857142857142857,"Ἰουδαίοις","Ἰουδαῖος","G24530",35,65.71428571428571,"For Ἰουδαίοις - Specific alignment ""Ἰουδαίοις μὲν = to Jews"" used infrequently: 2.9% out of 35 total alignments, threshold 5.3% (8.0% of peak 66%)","","","",""
"1co","1","23","9","ἔθνεσιν",1,0,"to Greeks",2,0,"ἔθνεσιν = to Greeks",2.631578947368421,"ἔθνεσιν","ἔθνος","G14840",38,57.89473684210527,"For ἔθνεσιν - Specific alignment ""ἔθνεσιν = to Greeks"" used infrequently: 2.6% out of 38 total alignments, threshold 4.6% (8.0% of peak 58%)","","","",""
"1co","1","24","1","αὐτοῖς",1,0,"to those",2,0,"αὐτοῖς = to those",0.18018018018018017,"αὐτοῖς","αὐτός","G08460",555,57.117117117117125,"For αὐτοῖς - Specific alignment ""αὐτοῖς = to those"" used infrequently: 0.2% out of 555 total alignments, threshold 4.6% (8.0% of peak 57%)","","","",""
"1co","1","24","11","σοφίαν",1,0,"the wisdom",2,0,"σοφίαν = the wisdom",7.142857142857142,"σοφίαν","σοφία","G46780",14,92.85714285714286,"For σοφίαν - Specific alignment ""σοφίαν = the wisdom"" used infrequently: 7.1% out of 14 total alignments, threshold 7.4% (8.0% of peak 93%)","","","",""
"1co","1","24","8","δύναμιν",1,0,"is the power",3,0,"δύναμιν = is the power",3.225806451612903,"δύναμιν","δύναμις","G14110",31,41.935483870967744,"For δύναμιν - Specific alignment ""δύναμιν = is the power"" used infrequently: 3.2% out of 31 total alignments, threshold 3.4% (8.0% of peak 42%)","","","",""
"1co","1","31","3","ὁ καυχώμενος",2,0,"Let the one who boasts",5,0,"ὁ καυχώμενος = Let the one who boasts",50.0,"καυχώμενος","καυχάομαι","G27440",2,50.0,"","","For καυχώμενος - Too many target language words in alignment: 5, threshold 5","",""
